model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted
GBM_3_AutoML_1_20251028_140001,0.7849686847599165,0.7739002414891893,0.8084022587519358,0.5412208124782782,0.550191570881226,0.7282022357769803,0.7849686847599165,0.8174862905602892,0.7518324607329843,0.7739002414891893,0.7849686847599165,0.7849686847599165,0.6353982300884956,0.7414592926904358,0.7849686847599165,0.7946558903733505
GBM_4_AutoML_1_20251028_140001,0.7920146137787056,0.7142353054647166,0.8057567965467227,0.5365094532259174,0.5868131868131868,0.72136689457018,0.7920146137787056,0.7888544275318033,0.5591623036649215,0.7142353054647166,0.7920146137787056,0.7920146137787056,0.5726541554959785,0.7176083331368495,0.7920146137787056,0.7903123857009813
GBM_5_AutoML_1_20251028_140001,0.7888830897703549,0.7765071236581154,0.8109529086981604,0.5368424798384812,0.5565891472868217,0.7316777365072975,0.7888830897703549,0.8194961781779014,0.7518324607329843,0.7765071236581154,0.7888830897703549,0.7888830897703549,0.6396436525612472,0.7451770578731683,0.7888830897703549,0.7981090007253376
GBM_grid_1_AutoML_1_20251028_140001_model_1,0.7899269311064718,0.7086477515300078,0.804249263430675,0.5431829122170218,0.5838926174496645,0.7182567239733006,0.7899269311064718,0.7856491594478384,0.5465968586387434,0.7086477515300078,0.7899269311064718,0.7899269311064718,0.5646295294753921,0.7130972238950477,0.7899269311064718,0.7875635361796455
GBM_grid_1_AutoML_1_20251028_140001_model_2,0.7899269311064718,0.7747539157826925,0.8120631766292332,0.5386617904360873,0.5589622641509434,0.7318248820754717,0.7899269311064718,0.8185268527568244,0.7445026178010471,0.7747539157826925,0.7899269311064718,0.7899269311064718,0.6385271665918276,0.7452337874526178,0.7899269311064718,0.7987541750555508
GBM_grid_1_AutoML_1_20251028_140001_model_3,0.7914926931106472,0.7799938854282111,0.8110619154988017,0.5540985709407874,0.5604651162790698,0.7345991985801328,0.7914926931106472,0.8219388922603634,0.7570680628272252,0.7799938854282111,0.7914926931106472,0.7914926931106472,0.644097995545657,0.7483269088265285,0.7914926931106472,0.8006045631391158
GBM_grid_1_AutoML_1_20251028_140001_model_4,0.7815762004175365,0.7796856091005211,0.8116508069960892,0.5423924100520008,0.5432551319648093,0.7282726227084987,0.7815762004175365,0.8210710614374577,0.7759162303664922,0.7796856091005211,0.7815762004175365,0.7815762004175365,0.6390685640362225,0.7412368077430879,0.7815762004175365,0.7924809007505501
GBM_grid_1_AutoML_1_20251028_140001_model_5,0.7831419624217119,0.701331011251904,0.7962988642546864,0.5222100261428153,0.5685840707964602,0.7089846583490498,0.7831419624217119,0.7794047860306983,0.5382198952879581,0.701331011251904,0.7831419624217119,0.7831419624217119,0.5529854760623991,0.7049165106410187,0.7831419624217119,0.7811199157715266
GLM_1_AutoML_1_20251028_140001,0.7925365344467641,0.7708955481913788,0.8082539439897946,0.5527579370124333,0.5650406504065041,0.7325587571786556,0.7925365344467641,0.8165801040513265,0.7277486910994765,0.7708955481913788,0.7925365344467641,0.7925365344467641,0.6361556064073226,0.7455280678504947,0.7925365344467641,0.8003855498165117
StackedEnsemble_AllModels_1_AutoML_1_20251028_140001,0.7977557411273486,0.7824160565743475,0.8112726498479546,0.5423848725693557,0.571656050955414,0.739826472682676,0.7977557411273486,0.8241749984028737,0.7518324607329843,0.7824160565743475,0.7977557411273486,0.7977557411273486,0.6494798733604704,0.7536781358366629,0.7977557411273486,0.8059404167550456
