model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted
GBM_3_AutoML_2_20251028_115947,0.5656565656565656,0.41868616814067466,0.5149186648654733,0.5656565656565656,0.5605762870932296,0.41868616814067466,0.5656565656565656,0.5656565656565656,0.44144924334603963,0.5656565656565656,0.5585402939450034,0.8181567990208463,0.8506370620093205,0.8349305175497342,0.9300776816676555,0.833388470386836
GBM_4_AutoML_2_20251028_115947,0.5858585858585859,0.435789083325253,0.5411235146635591,0.5858585858585859,0.5814045109095165,0.435789083325253,0.5858585858585859,0.5858585858585859,0.46126711535080994,0.5858585858585859,0.5787239138258824,0.819868318011559,0.8568567573895212,0.8446844515569257,0.9329496486249198,0.8441782447590161
GBM_5_AutoML_2_20251028_115947,0.5925925925925926,0.524163318678309,0.6427307958141192,0.5925925925925926,0.591558982943927,0.524163318678309,0.5925925925925926,0.5925925925925926,0.5559457931265767,0.5925925925925926,0.5866721665619234,0.8378471676718061,0.8621496786397468,0.8537014533613407,0.9311899390462802,0.8386574955389251
GBM_grid_1_AutoML_2_20251028_115947_model_1,0.5723905723905723,0.3784498590634053,0.3983958624972839,0.5723905723905723,0.5499615640742128,0.3784498590634053,0.5723905723905723,0.5723905723905723,0.38086947357201106,0.5723905723905723,0.5573497321982761,0.8278958584133895,0.8627883251814739,0.8672962937548329,0.9297589941061696,0.8308073664886575
GBM_grid_1_AutoML_2_20251028_115947_model_2,0.5993265993265994,0.5290665693634293,0.6217623883484099,0.5993265993265994,0.596112166592055,0.5290665693634293,0.5993265993265994,0.5993265993265994,0.5508209219455171,0.5993265993265994,0.5925053830564073,0.8481703443803579,0.874644465350653,0.8643555395475934,0.9396080772811038,0.8526506763221879
GBM_grid_1_AutoML_2_20251028_115947_model_3,0.5791245791245792,0.3994177955628363,0.5091517309274318,0.5791245791245792,0.5722304772857024,0.3994177955628363,0.5791245791245792,0.5791245791245792,0.4244909841116738,0.5791245791245792,0.5690019098901021,0.8283105167404448,0.8669815256541427,0.8571740828679173,0.9355659097522172,0.8499541393793265
GBM_grid_1_AutoML_2_20251028_115947_model_4,0.5925925925925926,0.3978465449695757,0.4063383838383838,0.5925925925925926,0.5745878700424155,0.3978465449695757,0.5925925925925926,0.5925925925925926,0.4012315579612576,0.5925925925925926,0.5826337778563034,0.8082908717460631,0.8573376750645314,0.8484533465512895,0.9305034381727236,0.83945117772514
GBM_grid_1_AutoML_2_20251028_115947_model_5,0.6195286195286195,0.41403118849440246,0.4083307477601557,0.6195286195286195,0.5950068042871812,0.41403118849440246,0.6195286195286195,0.6195286195286195,0.4081892005057437,0.6195286195286195,0.6059646615147752,0.8321599958403242,0.8633210836125361,0.8586755135533016,0.934515374470481,0.8486643020553897
GLM_1_AutoML_2_20251028_115947,0.6026936026936027,0.5391129946602297,0.6353525559407912,0.6026936026936027,0.6037176727016299,0.5391129946602297,0.6026936026936027,0.6026936026936027,0.5571915659601695,0.6026936026936027,0.5910142287457025,0.8526676932734584,0.8625097027849833,0.8460813708509394,0.9344801047008304,0.8297833545991391
StackedEnsemble_AllModels_1_AutoML_2_20251028_115947,0.6464646464646465,0.5573631885862622,0.627253747941124,0.6464646464646465,0.632949278274974,0.5573631885862622,0.6464646464646465,0.6464646464646465,0.5611571269108099,0.6464646464646465,0.6333131356496492,0.8692852642957625,0.8831932884388543,0.8697358459557597,0.9426841050484897,0.8633143114669325
StackedEnsemble_BestOfFamily_1_AutoML_2_20251028_115947,0.6430976430976431,0.5518271617224034,0.6290316813525494,0.6430976430976431,0.629825796958934,0.5518271617224034,0.6430976430976431,0.6430976430976431,0.5618666774688513,0.6430976430976431,0.630818460056309,0.8563720815202607,0.8744252818643276,0.8571421129291528,0.9393775641437444,0.855004754138221
XRT_1_AutoML_2_20251028_115947,0.6060606060606061,0.5544945090439276,0.6597240623914684,0.6060606060606061,0.6025757781208502,0.5544945090439276,0.6060606060606061,0.6060606060606061,0.5811578575351694,0.6060606060606061,0.5989723907389944,0.8343809476688788,0.8630599007170062,0.8476714035406422,0.9307667018104728,0.844341236547507
