model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted
GBM_3_AutoML_1_20251028_112511,0.631578947368421,0.6452332732281758,0.7273204380449784,0.676480141922793,0.5678073510773131,0.6561009849556969,0.631578947368421,0.6640366880816083,0.797153024911032,0.6452332732281758,0.631578947368421,0.631578947368421,0.6632124352331606,0.6282996939347215,0.631578947368421,0.6251617876317849
GBM_4_AutoML_1_20251028_112511,0.6283400809716599,0.6432886686795726,0.7271948517552997,0.6742969269704754,0.563816604708798,0.656908302354399,0.6283400809716599,0.6652752484585785,0.8096085409252669,0.6432886686795726,0.6283400809716599,0.6283400809716599,0.664718772826881,0.6239125199284268,0.6283400809716599,0.6202449133926143
GBM_5_AutoML_1_20251028_112511,0.631578947368421,0.6442061095746987,0.7269450011368863,0.6676043453618102,0.5690322580645162,0.6529943899018233,0.631578947368421,0.6605407839374031,0.7846975088967971,0.6442061095746987,0.631578947368421,0.631578947368421,0.6596858638743456,0.6290485806573847,0.631578947368421,0.6262949462953743
GBM_grid_1_AutoML_1_20251028_112511_model_1,0.6421052631578947,0.654011093896242,0.7240618043180531,0.6719460415285832,0.5785340314136126,0.6618784806749591,0.6421052631578947,0.6693693583008777,0.7864768683274022,0.654011093896242,0.6421052631578947,0.6421052631578947,0.6666666666666666,0.6401515151515151,0.6421052631578947,0.6377683719788982
GBM_grid_1_AutoML_1_20251028_112511_model_2,0.6404858299595142,0.653992586443026,0.7314462781511581,0.6831500695713293,0.5750636132315522,0.6650373745445066,0.6404858299595142,0.6731240850754685,0.8042704626334519,0.653992586443026,0.6404858299595142,0.6404858299595142,0.6706231454005934,0.6374506101334518,0.6404858299595142,0.6344691110122755
GBM_grid_1_AutoML_1_20251028_112511_model_3,0.6461538461538462,0.6594866561262314,0.7319525891927048,0.686622370447928,0.5798212005108557,0.6704415737067553,0.6461538461538462,0.6785864007713259,0.8078291814946619,0.6594866561262314,0.6461538461538462,0.6461538461538462,0.675092936802974,0.6433242461792648,0.6461538461538462,0.6404689225685508
GBM_grid_1_AutoML_1_20251028_112511_model_4,0.6477732793522267,0.6595051635794472,0.7264968563768752,0.6776202073455203,0.5834428383705651,0.6672488453456201,0.6477732793522267,0.6747812071061311,0.7900355871886121,0.6595051635794472,0.6477732793522267,0.6477732793522267,0.671201814058957,0.6459757980495309,0.6477732793522267,0.6437085204972666
GBM_grid_1_AutoML_1_20251028_112511_model_5,0.6283400809716599,0.6421147673613131,0.7247492240089258,0.6722826301968982,0.5651074589127687,0.6530492249518798,0.6283400809716599,0.6609533027092412,0.7953736654804271,0.6421147673613131,0.6283400809716599,0.6283400809716599,0.6607538802660754,0.6249158837319634,0.6283400809716599,0.6216948168369947
GLM_1_AutoML_1_20251028_112511,0.5959514170040486,0.6160655269600714,0.7267572826828403,0.6808543781443088,0.5357548240635641,0.6407587679639855,0.5959514170040486,0.6501963693995698,0.8398576512455516,0.6160655269600714,0.5959514170040486,0.5959514170040486,0.6541926541926542,0.5841557233962298,0.5959514170040486,0.5778609061343649
StackedEnsemble_AllModels_1_AutoML_1_20251028_112511,0.6437246963562753,0.6574045676394537,0.7338667886395964,0.6870949947146907,0.5774111675126904,0.6690187828614906,0.6437246963562753,0.6772523418118687,0.8096085409252669,0.6574045676394537,0.6437246963562753,0.6437246963562753,0.674074074074074,0.6406084656084656,0.6437246963562753,0.6376006254953623
StackedEnsemble_BestOfFamily_1_AutoML_1_20251028_112511,0.6591093117408907,0.6653574846784727,0.7339910529683311,0.6862290092069687,0.602919708029197,0.666005308560053,0.6591093117408907,0.6716753503891421,0.7348754448398577,0.6653574846784727,0.6591093117408907,0.6591093117408907,0.6623897353648757,0.659077124428145,0.6591093117408907,0.6587793917852487
XRT_1_AutoML_1_20251028_112511,0.605668016194332,0.6261547328845717,0.7176846647242654,0.6675378130551741,0.5423728813559322,0.6540435835351089,0.605668016194332,0.6640803834880552,0.8540925266903915,0.6261547328845717,0.605668016194332,0.605668016194332,0.663441603317208,0.5936953862138337,0.605668016194332,0.5874266978749879
