model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted,eval_metric
RandomForestEntr_BAG_L2_FULL,0.7995824634655533,0.7668437344747201,0.8157599448232689,0.5535554541435219,0.5810928013876843,0.73735491133214,0.7995824634655533,0.8157306355788111,0.7015706806282722,0.7668437344747201,0.7995824634655533,0.7995824634655533,0.635673624288425,0.7487223413018799,0.7995824634655533,0.8054237071943278,accuracy
ExtraTreesGini_BAG_L2_FULL,0.7993215031315241,0.7652708700708089,0.8150196448816849,0.5489832858164607,0.581151832460733,0.736778447875936,0.7993215031315241,0.8148354298247933,0.6973821989528796,0.7652708700708089,0.7993215031315241,0.7993215031315241,0.6339838172298905,0.7478745259077728,0.7993215031315241,0.8049982059909905,accuracy
LightGBMXT_BAG_L2_FULL,0.798277661795407,0.7575803401958483,0.819679822095078,0.5647917487199295,0.581981981981982,0.7342312555023798,0.798277661795407,0.81059427839022,0.6764397905759162,0.7575803401958483,0.798277661795407,0.798277661795407,0.6256658595641647,0.7438027458206606,0.798277661795407,0.8030561631967006,accuracy
NeuralNetFastAI_BAG_L1_FULL,0.7977557411273486,0.7649276533328966,0.8122760947540248,0.555357272548998,0.5778546712802768,0.7353025224861773,0.7977557411273486,0.8142729739521847,0.6994764397905759,0.7649276533328966,0.7977557411273486,0.7977557411273486,0.6328754144954998,0.7466556074818576,0.7977557411273486,0.8037238566780422,accuracy
WeightedEnsemble_L3_FULL,0.7974947807933194,0.7521622108544568,0.8153504868909769,0.5570399508555335,0.5824884792626728,0.732452830821726,0.7974947807933194,0.8076698150849044,0.6617801047120419,0.7521622108544568,0.7974947807933194,0.7974947807933194,0.6196078431372549,0.7408138788943743,0.7974947807933194,0.8016066765783991,accuracy
LightGBM_BAG_L2_FULL,0.7969728601252609,0.7504155543059505,0.8161835972972137,0.561757145443004,0.5820203892493049,0.7316204379955206,0.7969728601252609,0.8066547004407779,0.6575916230366492,0.7504155543059505,0.7969728601252609,0.7969728601252609,0.6175024582104228,0.7396570905616946,0.7969728601252609,0.8009256718193001,accuracy
RandomForestGini_BAG_L2_FULL,0.7969728601252609,0.7612583643156502,0.8161169921402276,0.5567375455193273,0.5775635407537248,0.7337836284221988,0.7969728601252609,0.812138275733996,0.6900523560209424,0.7612583643156502,0.7969728601252609,0.7969728601252609,0.6288167938931297,0.7445448911994383,0.7969728601252609,0.8025901425101705,accuracy
LightGBMLarge_BAG_L2_FULL,0.7967118997912317,0.7467440815130653,0.8107998624221349,0.5476731411801391,0.5830188679245283,0.7307229981758283,0.7967118997912317,0.8048063328164856,0.6471204188481675,0.7467440815130653,0.7967118997912317,0.7967118997912317,0.6133995037220844,0.7377494951784436,0.7967118997912317,0.8001191933984649,accuracy
XGBoost_BAG_L2_FULL,0.7964509394572025,0.7521665784057345,0.814245496417698,0.5552862136836446,0.5800548947849954,0.7314294189149512,0.7964509394572025,0.8073536974582118,0.6638743455497382,0.7521665784057345,0.7964509394572025,0.7964509394572025,0.619140625,0.7401258680555556,0.7964509394572025,0.8008079236799758,accuracy
NeuralNetTorch_BAG_L1_FULL,0.7954070981210856,0.7560183946701315,0.8104047810127988,0.5598827111994319,0.5761353517364203,0.7312201306485719,0.7954070981210856,0.8090053459588943,0.6774869109947644,0.7560183946701315,0.7954070981210856,0.7954070981210856,0.6227141482194418,0.7411816355132297,0.7954070981210856,0.8006008710504584,accuracy
RandomForestGini_BAG_L1,0.7901878914405011,0.7161666730360123,0.8084541234233595,0.5261310177890792,0.5807486631016042,0.7192662887479025,0.7901878914405011,0.7887419872061973,0.5685863874345549,0.7161666730360123,0.7901878914405011,0.7901878914405011,0.5746031746031746,0.7176791418564885,0.7901878914405011,0.7894411483963816,accuracy
RandomForestGini_BAG_L1_FULL,0.7901878914405011,0.7161666730360123,0.8084541234233595,0.5261310177890792,0.5807486631016042,0.7192662887479025,0.7901878914405011,0.7887419872061973,0.5685863874345549,0.7161666730360123,0.7901878914405011,0.7901878914405011,0.5746031746031746,0.7176791418564885,0.7901878914405011,0.7894411483963816,accuracy
RandomForestEntr_BAG_L1,0.7896659707724426,0.7158190887468221,0.8102326266999329,0.5286240282423881,0.5795090715048026,0.7185973682221767,0.7896659707724426,0.7883592957510893,0.5685863874345549,0.7158190887468221,0.7896659707724426,0.7896659707724426,0.5739957716701902,0.7171780660152753,0.7896659707724426,0.788993402583974,accuracy
RandomForestEntr_BAG_L1_FULL,0.7896659707724426,0.7158190887468221,0.8102326266999329,0.5286240282423881,0.5795090715048026,0.7185973682221767,0.7896659707724426,0.7883592957510893,0.5685863874345549,0.7158190887468221,0.7896659707724426,0.7896659707724426,0.5739957716701902,0.7171780660152753,0.7896659707724426,0.788993402583974,accuracy
ExtraTreesEntr_BAG_L1,0.7865344467640919,0.6864516739550179,0.8050048498017314,0.530902041189814,0.5863808322824716,0.7125717915936873,0.7865344467640919,0.7758648562586551,0.4869109947643979,0.6864516739550179,0.7865344467640919,0.7865344467640919,0.5320366132723112,0.6968837562642827,0.7865344467640919,0.7795654391532623,accuracy
ExtraTreesEntr_BAG_L1_FULL,0.7865344467640919,0.6864516739550179,0.8050048498017314,0.530902041189814,0.5863808322824716,0.7125717915936873,0.7865344467640919,0.7758648562586551,0.4869109947643979,0.6864516739550179,0.7865344467640919,0.7865344467640919,0.5320366132723112,0.6968837562642827,0.7865344467640919,0.7795654391532623,accuracy
ExtraTreesGini_BAG_L1,0.7831419624217119,0.6817439996214789,0.8040829325195129,0.5317504499961687,0.5782828282828283,0.7073979930887826,0.7831419624217119,0.7721577391109756,0.47958115183246075,0.6817439996214789,0.7831419624217119,0.7831419624217119,0.524327418431597,0.6919423132381071,0.7831419624217119,0.7760122056749841,accuracy
ExtraTreesGini_BAG_L1_FULL,0.7831419624217119,0.6817439996214789,0.8040829325195129,0.5317504499961687,0.5782828282828283,0.7073979930887826,0.7831419624217119,0.7721577391109756,0.47958115183246075,0.6817439996214789,0.7831419624217119,0.7831419624217119,0.524327418431597,0.6919423132381071,0.7831419624217119,0.7760122056749841,accuracy
