model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted,eval_metric
RandomForestGini_BAG_L2_FULL,0.97875,0.9783934435605333,0.9788574021613295,0.97875,0.9789060956831698,0.9783934435605333,0.97875,0.97875,0.9784178786395009,0.97875,0.9786253283393078,0.9995343650723311,0.9995432362094736,0.9995425571789452,0.99941046,0.9995522992571775,accuracy
CatBoost_BAG_L2_FULL,0.9785,0.9782677839101268,0.9785248020020946,0.9785,0.9786289342450035,0.9782677839101268,0.9785,0.9785,0.9782776845714657,0.9785,0.9784475403848862,0.9997259157235127,0.9997264346522092,0.9997267224454451,0.9997199075000001,0.9997269372624908,accuracy
NeuralNetFastAI_BAG_L2_FULL,0.9785,0.9784710046603213,0.9790883749523165,0.9785,0.9794344495905181,0.9784710046603213,0.9785,0.9785,0.9784146365715721,0.9785,0.9786097651839677,0.9996009946573111,0.9996024719625499,0.9996015226221204,0.9996408600000001,0.9996040465782362,accuracy
CatBoost_BAG_L1_FULL,0.97125,0.971086354120151,0.9716707818945556,0.97125,0.9716279212133692,0.971086354120151,0.97125,0.97125,0.9712144691867776,0.97125,0.971275590918608,0.9997955874365981,0.9997974064433618,0.9997969861758913,0.9998261775,0.9997993006080139,accuracy
LightGBM_BAG_L1_FULL,0.9705,0.9702042431971726,0.9704791773377328,0.9705,0.9707039682773831,0.9702042431971726,0.9705,0.9705,0.9702364912399914,0.9705,0.9704974751476377,0.9997648947070341,0.9997672114451359,0.9997664546965985,0.99978554,0.9997696293085204,accuracy
LightGBMXT_BAG_L1_FULL,0.968,0.9678302984471991,0.9681745673943547,0.968,0.9683729171887901,0.9678302984471991,0.968,0.968,0.9678459165052431,0.968,0.9680312952741735,0.999703330900228,0.9997062390036291,0.9997054352100061,0.99974491,0.9997092689139349,accuracy
RandomForestEntr_BAG_L1,0.96775,0.967404561735072,0.9679950107039645,0.96775,0.9680302803977122,0.967404561735072,0.96775,0.96775,0.967551892254629,0.96775,0.9677401560821263,0.999630840996509,0.9996332842334478,0.9996326890161285,0.99967951,0.9996358538737125,accuracy
RandomForestEntr_BAG_L1_FULL,0.96775,0.967404561735072,0.9679950107039645,0.96775,0.9680302803977122,0.967404561735072,0.96775,0.96775,0.967551892254629,0.96775,0.9677401560821263,0.999630840996509,0.9996332842334478,0.9996326890161285,0.99967951,0.9996358538737125,accuracy
XGBoost_BAG_L1_FULL,0.9675,0.9672998910388173,0.9676085901821517,0.9675,0.9677683861050183,0.9672998910388173,0.9675,0.9675,0.9673318792719082,0.9675,0.967512140587894,0.9997210685560735,0.9997238795926008,0.9997228160569669,0.9997515825,0.999726825217178,accuracy
LightGBMLarge_BAG_L1_FULL,0.9625,0.962259220977989,0.9625967347754438,0.9625,0.9627584975316827,0.962259220977989,0.9625,0.9625,0.962284666786233,0.9625,0.9624873911060308,0.9996083079247303,0.9996121842287974,0.999610572709715,0.99964258625,0.9996162567590715,accuracy
ExtraTreesEntr_BAG_L1,0.96075,0.9604480871328798,0.9613357444371691,0.96075,0.9613923553391718,0.9604480871328798,0.96075,0.96075,0.9605833204760644,0.96075,0.960763579385224,0.9993679636166322,0.9993703300766881,0.9993696198623206,0.9993125825,0.9993727914556525,accuracy
ExtraTreesEntr_BAG_L1_FULL,0.96075,0.9604480871328798,0.9613357444371691,0.96075,0.9613923553391718,0.9604480871328798,0.96075,0.96075,0.9605833204760644,0.96075,0.960763579385224,0.9993679636166322,0.9993703300766881,0.9993696198623206,0.9993125825,0.9993727914556525,accuracy
RandomForestGini_BAG_L1,0.95225,0.951856458371138,0.9539209521060983,0.95225,0.9539640461389579,0.951856458371138,0.95225,0.95225,0.9522803724711805,0.95225,0.9525004858891994,0.9992214816268008,0.9992260661396177,0.9992252740086547,0.9992296275,0.9992308590816699,accuracy
RandomForestGini_BAG_L1_FULL,0.95225,0.951856458371138,0.9539209521060983,0.95225,0.9539640461389579,0.951856458371138,0.95225,0.95225,0.9522803724711805,0.95225,0.9525004858891994,0.9992214816268008,0.9992260661396177,0.9992252740086547,0.9992296275,0.9992308590816699,accuracy
ExtraTreesGini_BAG_L1,0.9505,0.9502616107132393,0.9525740052294456,0.9505,0.9525864498333154,0.9502616107132393,0.9505,0.9505,0.9506591312394045,0.9505,0.9507888252305532,0.9990192916050626,0.9990221195981442,0.9990212815503647,0.9988185537500001,0.9990250540952399,accuracy
ExtraTreesGini_BAG_L1_FULL,0.9505,0.9502616107132393,0.9525740052294456,0.9505,0.9525864498333154,0.9502616107132393,0.9505,0.9505,0.9506591312394045,0.9505,0.9507888252305532,0.9990192916050626,0.9990221195981442,0.9990212815503647,0.9988185537500001,0.9990250540952399,accuracy
NeuralNetTorch_BAG_L2_FULL,0.91725,0.9174951797413782,0.9210180407733642,0.91725,0.9215540684653208,0.9174951797413782,0.91725,0.91725,0.9174215924446074,0.91725,0.917552767508572,0.9988342970882398,0.9988330891102755,0.9988348765650036,0.9987099525,0.9988316481577076,accuracy
NeuralNetFastAI_BAG_L1_FULL,0.9165,0.9161111410177004,0.9193687575812546,0.9165,0.9195002992636419,0.9161111410177004,0.9165,0.9165,0.9164176606817747,0.9165,0.9166773659079872,0.9984070345451488,0.9984191266873794,0.998417458650642,0.9984840850000001,0.9984316818054524,accuracy
